"year","iteration","sAg","ppnCUsLowerBM"
18,"16",119065.946520467,NA
18,"17",108290.178371863,NA
18,"18",244200.326272087,NA
18,"19",133115.168360155,NA
18,"20",115841.005924907,NA
19,"1",167135.271571544,NA
19,"2",153310.441047731,NA
19,"3",38013.4096332339,NA
19,"4",184762.715562222,NA
19,"5",168398.366369506,NA
19,"6",134904.786211357,NA
19,"7",134659.241959666,NA
19,"8",123270.548847451,NA
19,"9",161142.62865803,NA
19,"10",175782.434298624,NA
19,"11",223915.044506268,NA
19,"12",299094.472364905,NA
19,"13",145948.768288992,NA
19,"14",171050.068653633,NA
19,"15",105465.735558985,NA
19,"16",112010.122335628,NA
19,"17",99595.2724270006,NA
19,"18",146005.6495649,NA
19,"19",181260.008236626,NA
19,"20",135235.913820868,NA
20,"1",165646.934319305,NA
20,"2",88638.7359543942,NA
20,"3",88854.6532487109,NA
20,"4",170348.058701596,NA
20,"5",166796.14859845,NA
20,"6",121579.131483233,NA
20,"7",107625.267751063,NA
20,"8",56850.1599771691,NA
20,"9",94785.3295763132,NA
20,"10",131456.945497436,NA
20,"11",133434.655991224,NA
20,"12",175128.02247757,NA
20,"13",166296.530672542,NA
20,"14",181116.750279833,NA
20,"15",60628.1653667237,NA
20,"16",90452.6428277337,NA
20,"17",100277.7950287,NA
20,"18",134967.849519297,NA
20,"19",100930.692136313,NA
20,"20",130163.238977381,NA
21,"1",123980.947380849,NA
21,"2",134932.473443069,NA
21,"3",49894.5108934384,NA
21,"4",155502.561830534,NA
21,"5",154351.149288276,NA
21,"6",108387.066566166,NA
21,"7",156718.962079548,NA
21,"8",85494.6937315691,NA
21,"9",134083.199919924,NA
21,"10",110725.070398699,NA
21,"11",192405.154085205,NA
21,"12",149417.409994472,NA
21,"13",304315.416186178,NA
21,"14",90303.8676040617,NA
21,"15",106785.223326789,NA
21,"16",126450.27268396,NA
21,"17",80348.5441799633,NA
21,"18",88591.4573808917,NA
21,"19",130731.78908536,NA
21,"20",101715.418827476,NA
22,"1",72030.8314619274,NA
22,"2",123533.559223132,NA
22,"3",92973.304663932,NA
22,"4",82249.8207668311,NA
22,"5",99480.1588936041,NA
22,"6",125230.561742792,NA
22,"7",194837.835527008,NA
22,"8",132289.437353204,NA
22,"9",120466.22625357,NA
22,"10",146376.658373734,NA
22,"11",91874.9523496615,NA
22,"12",317937.630209362,NA
22,"13",166762.471882295,NA
22,"14",71360.8902410543,NA
22,"15",154429.66458498,NA
22,"16",82116.4469196663,NA
22,"17",72401.2816432311,NA
22,"18",108373.098655392,NA
22,"19",49905.229965085,NA
22,"20",162747.602363003,NA
23,"1",102101.356502948,NA
23,"2",143019.159801218,NA
23,"3",93186.7682458843,NA
23,"4",45535.2308607083,NA
23,"5",225308.37955734,NA
23,"6",196814.50020799,NA
23,"7",119210.113699168,NA
23,"8",205500.702148559,NA
23,"9",78842.8012193572,NA
23,"10",148530.595547235,NA
23,"11",107409.404707873,NA
23,"12",165999.744552161,NA
23,"13",193395.888377261,NA
23,"14",96386.6678136892,NA
23,"15",184031.158570524,NA
23,"16",93741.4298390471,NA
23,"17",160353.527904162,NA
23,"18",33763.0354163214,NA
23,"19",128442.413228115,NA
23,"20",122218.89730123,NA
24,"1",133999.067355544,NA
24,"2",125214.046832733,NA
24,"3",153868.730599121,NA
24,"4",56219.5340277013,NA
24,"5",247931.170389373,NA
24,"6",180516.140715271,NA
24,"7",162213.5575914,NA
24,"8",186539.69324768,NA
24,"9",123782.455080707,NA
24,"10",282290.171285715,NA
24,"11",83348.7328077236,NA
24,"12",163756.774692097,NA
24,"13",82354.1394434423,NA
24,"14",85432.5315595369,NA
24,"15",147116.602146099,NA
24,"16",49013.2639754479,NA
24,"17",89725.948753493,NA
24,"18",45854.5949052118,NA
